TAXA	Isolate ID	Bioproject	Suburb	Inner_northwest_lineage
SRR34576408	AUSMDU00086006	PRJNA857537	Inner_northwest	Y
SRR34576407	AUSMDU00086012	PRJNA857537	Inner_northwest	Y
SRR34576400	AUSMDU00089705	PRJNA857537	Inner_northwest	Y
SRR39121694	AUSMDU00115769	PRJNA857537	Inner_northwest	Y
SRR39121775	AUSMDU00104856	PRJNA857537	Inner_northwest	Y
SRR39122037	AUSMDU00105991	PRJNA857537	Inner_northwest	Y
SRR39121900	AUSMDU00109208	PRJNA857537	Inner_northwest	Y
SRR39121899	AUSMDU00109213	PRJNA857537	Inner_northwest	Y
SRR39121733	AUSMDU00109828	PRJNA857537	Inner_northwest	Y
SRR39121981	AUSMDU00115027	PRJNA857537	Inner_northwest	Y
SRR39121875	AUSMDU00115319	PRJNA857537	Inner_northwest	Y
SRR39121686	AUSMDU00115890	PRJNA857537	Inner_northwest	Y
SRR39121980	AUSMDU00115960	PRJNA857537	Inner_northwest	Y
SRR39121974	AUSMDU00116034	PRJNA857537	Inner_northwest	Y
SRR39121973	AUSMDU00116037	PRJNA857537	Inner_northwest	Y
SRR39121966	AUSMDU00116633	PRJNA857537	Inner_northwest	Y
SRR34576426	AUSMDU00073277	PRJNA857537	Inner_northwest	Y
SRR34576440	AUSMDU00067362	PRJNA857537	Inner_northwest	Y
SRR34576437	AUSMDU00067458	PRJNA857537	Inner_northwest	Y
SRR34576390	AUSMDU00120346	PRJNA857537	Inner_northwest	Y
SRR34576432	AUSMDU00069081	PRJNA857537	Inner_northwest	Y
SRR34576435	AUSMDU00069025	PRJNA857537	Inner_northwest	Y
SRR34576431	AUSMDU00071978	PRJNA857537	Inner_northwest	Y
SRR34576425	AUSMDU00076540	PRJNA857537	Inner_northwest	Y
SRR34576421	AUSMDU00082763	PRJNA857537	Inner_northwest	Y
SRR34576419	AUSMDU00082778	PRJNA857537	Inner_northwest	Y
SRR34576415	AUSMDU00082803	PRJNA857537	Inner_northwest	Y
SRR34576413	AUSMDU00085972	PRJNA857537	Inner_northwest	Y
SRR34576410	AUSMDU00086000	PRJNA857537	Inner_northwest	Y
SRR34576402	AUSMDU00087348	PRJNA857537	Inner_northwest	Y
SRR39121861	AUSMDU00115488	PRJNA857537	Inner_northwest	Y
SRR34576447	AUSMDU00063312	PRJNA857537	Inner_northwest	Y
SRR39122012	AUSMDU00114747	PRJNA857537	Inner_northwest	Y
SRR39121866	AUSMDU00115469	PRJNA857537	Inner_northwest	Y
SRR39121852	AUSMDU00117083	PRJNA857537	Inner_northwest	Y
SRR39121705	AUSMDU00115554	PRJNA857537	Inner_northwest	Y
