INDEX,ABS_DIFF_IMPUTED,ABS_DIFF_2022_DATA
25.1.2024,0.104766225,0.04968218
7.2.2024,0.273786893,0.115596632
21.2.2024,0.500046239,0.200400643
6.3.2024,0.676166637,0.27666957
